seed,model,N,requested_N,gate_selected_N,conservative_high_N_gate,selected_energy,selected_score,selected_real_utility,success_rate,exact_expected_utility,mc_mean_utility,mc_ci_low,mc_ci_high,exact_law_abs_error,low_energy_tail_real_utility,low_energy_tail_invalid_rate,low_energy_tail_contact_failure_rate,low_energy_tail_support_distance,tail_rank_correlation,energy_utility_rank_correlation,invalid_action_rate,contact_failure_rate,support_distance,jerk_smoothness_penalty,contact_feasibility_penalty,oracle_minus_energy_gap,high_n_regret,marginal_utility_per_added_candidate,compute_latency_proxy,energy_evaluations,repair_recovery_ratio,repair_recovery_ratio_reported,recovery_ge_95,utility_not_degraded,tail_rank_improved,support_distance_reduced,deployment_gate,task
0,oracle,4,4,4,0,-1.2644391648780617,1.2644391648780617,1.2644391648780617,0.868796754613868,1.2644391648780617,1.2901527631385579,1.2252164828679144,1.3550890434092013,0.02571359826049613,1.4204631377589954,0.0078125,0.002266391415706206,0.12299773611570465,1.0,1.0,0.00886113575870695,0.003588306375296937,0.16510437000995648,0.13331300681326688,0.003588306375296937,-4.440892098500626e-16,-4.440892098500626e-16,0.16651109482747506,4.0,4,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,8,8,8,0,-1.4471755352159574,1.4471755352159574,1.4471755352159574,0.977657851994468,1.4471755352159574,1.4654865364172545,1.4314476784907944,1.4995253943437146,0.018311001201297028,1.538519233221801,0.0078125,0.00182374894287532,0.08464708652876926,1.0,1.0,0.006742841729679717,0.001961868307162592,0.1120430313066554,0.12099327876905322,0.001961868307162592,-2.220446049250313e-16,-2.220446049250313e-16,0.04568409258447392,8.0,8,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,16,16,16,0,-1.5504407779996643,1.5504407779996643,1.5504407779996643,0.9942971538658341,1.5504407779996643,1.5483057055793037,1.5260009213453152,1.5706104898132922,0.0021350724203605953,1.6079075683773598,0.0,0.0005622803632820511,0.062360305269201805,1.0,1.0,0.005454839294469473,0.0015442704108675203,0.08015058875760635,0.10680076573435512,0.0015442704108675203,2.220446049250313e-16,2.220446049250313e-16,0.012908155347963357,16.0,16,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,32,32,32,0,-1.610071361755959,1.610071361755959,1.610071361755959,0.997515097054681,1.610071361755959,1.6187372753935991,1.6086556632092113,1.628818887577987,0.008665913637640132,1.6079075683773598,0.0,0.0005622803632820511,0.062360305269201805,1.0,1.0,0.0024848402513382825,0.0010377372105594186,0.060094990936573486,0.07988184770203569,0.0010377372105594186,2.220446049250313e-16,2.220446049250313e-16,0.0037269114847684193,32.0,32,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,64,64,64,0,-1.64443521282034,1.64443521282034,1.64443521282034,0.9996631692421405,1.64443521282034,1.6495157604218358,1.642487469643215,1.6565440512004566,0.005080547601495677,1.6079075683773598,0.0,0.0005622803632820511,0.062360305269201805,1.0,1.0,0.00033683075785553336,0.0008434170573296629,0.04769751448499636,0.04799177604146043,0.0008434170573296629,-2.220446049250313e-16,-2.220446049250313e-16,0.0010738703457619098,64.0,64,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,128,128,128,0,-1.664742835849356,1.664742835849356,1.664742835849356,0.9999966666967166,1.664742835849356,1.661635696021793,1.65659639585172,1.666674996191866,0.0031071398275628326,1.6079075683773598,0.0,0.0005622803632820511,0.062360305269201805,1.0,1.0,3.333303283523725e-06,0.000749385266290664,0.03987246048524633,0.02246755341031912,0.000749385266290664,0.0,0.0,0.00031730660982837167,128.0,128,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,256,256,256,0,-1.6771227806739217,1.6771227806739217,1.6771227806739217,0.9999999998361236,1.6771227806739217,1.679003156576367,1.6764679591249037,1.6815383540278304,0.0018803759024452749,1.6079075683773598,0.0,0.0005622803632820511,0.062360305269201805,1.0,1.0,1.6387631264517074e-10,0.00043936774898206416,0.03437036746303291,0.008037385666488116,0.00043936774898206416,0.0,0.0,9.67183189419206e-05,256.0,256,0.0,0.0,0,0,0,0,stop_early,multimodal
0,oracle,512,512,512,0,-1.6847320940314832,1.6847320940314832,1.6847320940314832,1.0,1.6847320940314832,1.6837435282828381,1.682019187568849,1.6854678689968272,0.0009885657486450317,1.6079075683773598,0.0,0.0005622803632820511,0.062360305269201805,1.0,1.0,1.989584274123752e-19,0.00011224564202714284,0.029268406863016537,0.003708889337213293,0.00011224564202714284,-2.220446049250313e-16,-2.220446049250313e-16,2.972388030297434e-05,512.0,512,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,1,1,1,0,-0.389816941421,0.389816941421,0.3858817258050422,0.40234375,0.3858817258050422,0.32384313352974287,0.14880295083598866,0.4988833162234971,0.06203859227529934,0.3858817258050422,0.205078125,0.17458496194629092,0.44292265109136975,0.9938965828624562,0.9938965828624562,0.205078125,0.17458496194629092,0.44292265109136963,0.19654653485199738,0.17458496194629092,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,1.0,1,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,2,2,2,0,-0.9380747919506399,0.9380747919506399,0.9291507125706329,0.6402797698974609,0.9291507125706329,0.901730090647424,0.7716954546027346,1.0317647266921135,0.02742062192320882,1.170206221481473,0.005859375,0.0022228496753587436,0.18879815706683284,0.9661221403966538,0.9938965828624562,0.04733085632324219,0.03513552266943921,0.2714169818498964,0.16764082406206077,0.03513552266943921,0.0022662626524789786,0.0022662626524789786,0.5432689867655907,2.0,2,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,4,4,4,0,-1.2754421494857318,1.2754421494857318,1.258867833284837,0.8658526667877595,1.258867833284837,1.2824424140776156,1.2167988027629808,1.3480860253922504,0.02357458079277852,1.4114332003012704,0.0078125,0.002330232229620109,0.1251412081966812,0.8806570439459831,0.9938965828624562,0.008553253739592037,0.00361069689339424,0.16670403821112395,0.13414594274091723,0.00361069689339424,0.005571331593224205,0.005571331593224205,0.1648585603571021,4.0,4,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,8,8,8,0,-1.4648133610898317,1.4648133610898317,1.4365123184973003,0.9765936432331297,1.4365123184973003,1.450831220882175,1.4150058338006621,1.4866566079636878,0.014318902384874654,1.530655341101878,0.0,0.0017933686033765688,0.08801671317574289,0.6908304339864494,0.9938965828624562,0.005867384884029221,0.0019462918619116284,0.11506409621570668,0.1245211736033267,0.0019462918619116284,0.010663216718656887,0.010663216718656887,0.04441112130311581,8.0,8,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,16,16,16,0,-1.5770252326727952,1.5770252326727952,1.5327691544635682,0.996145810558906,1.5327691544635682,1.5344629275697472,1.5112192540844978,1.5577066010549967,0.0016937731061790195,1.5848876227530864,0.0,0.0005680955124304648,0.06701068724494835,0.35732600732600733,0.9938965828624562,0.0034394655108943148,0.0014190517387026131,0.08541016161100565,0.11791205863978337,0.0014190517387026131,0.017671623536096304,0.017671623536096304,0.012032104495783486,16.0,16,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,32,32,32,0,-1.6467263571327846,1.6467263571327846,1.5822218401580577,0.9993414152687021,1.5822218401580577,1.5915014612786271,1.5764153352530832,1.606587587304171,0.009279621120569459,1.5848876227530864,0.0,0.0005680955124304648,0.06701068724494835,0.35732600732600733,0.9938965828624562,0.0006580400662638614,0.0008871128937918715,0.06850557549787381,0.10859943194100335,0.0008871128937918715,0.02784952159790155,0.02784952159790155,0.0030907928559055914,32.0,32,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,64,64,64,0,-1.691643652910056,1.691643652910056,1.6044134473544522,0.9999874951552488,1.6044134473544522,1.6061508642486848,1.5927735478401552,1.6195281806572144,0.0017374168942325685,1.5848876227530864,0.0,0.0005680955124304648,0.06701068724494835,0.35732600732600733,0.9938965828624562,1.2504841476196293e-05,0.0009598421366194043,0.06029149731237673,0.09946230185070948,0.0009598421366194043,0.04002176546588765,0.04002176546588765,0.0006934877248873303,64.0,64,0.0,0.0,0,0,0,0,stop_early,multimodal
0,good,128,128,128,0,-1.723056420409785,1.723056420409785,1.6140341195138257,0.9999999974769315,1.6140341195138257,1.6195807386308523,1.6075285833931974,1.6316328938685072,0.0055466191170265855,1.5848876227530864,0.0,0.0005680955124304648,0.06701068724494835,0.35732600732600733,0.9938965828624562,2.523068522383582e-09,0.001433684302807729,0.05641595411679444,0.09721171714345743,0.001433684302807729,0.0507087163355302,0.0507087163355302,0.00015032300249021024,128.0,128,0.0,0.0,0,0,0,0,stop_early,multimodal
