model,N,num_seeds,selected_energy,selected_energy_ci_low,selected_energy_ci_high,selected_score,selected_score_ci_low,selected_score_ci_high,selected_real_utility,selected_real_utility_ci_low,selected_real_utility_ci_high,success_rate,success_rate_ci_low,success_rate_ci_high,exact_law_abs_error,exact_law_abs_error_ci_low,exact_law_abs_error_ci_high,low_energy_tail_real_utility,low_energy_tail_real_utility_ci_low,low_energy_tail_real_utility_ci_high,low_energy_tail_invalid_rate,low_energy_tail_invalid_rate_ci_low,low_energy_tail_invalid_rate_ci_high,tail_rank_correlation,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,energy_utility_rank_correlation,energy_utility_rank_correlation_ci_low,energy_utility_rank_correlation_ci_high,invalid_action_rate,invalid_action_rate_ci_low,invalid_action_rate_ci_high,jerk_smoothness_penalty,jerk_smoothness_penalty_ci_low,jerk_smoothness_penalty_ci_high,contact_feasibility_penalty,contact_feasibility_penalty_ci_low,contact_feasibility_penalty_ci_high,oracle_minus_energy_gap,oracle_minus_energy_gap_ci_low,oracle_minus_energy_gap_ci_high,high_n_regret,high_n_regret_ci_low,high_n_regret_ci_high,marginal_utility_per_added_candidate,marginal_utility_per_added_candidate_ci_low,marginal_utility_per_added_candidate_ci_high,compute_latency_proxy,compute_latency_proxy_ci_low,compute_latency_proxy_ci_high,energy_evaluations,energy_evaluations_ci_low,energy_evaluations_ci_high,deployment_gate
oracle,4,3,-1.72225034053513,-1.7229533105914698,-1.72154737047879,1.72225034053513,1.72154737047879,1.7229533105914698,1.72225034053513,1.72154737047879,1.7229533105914698,0.9715202636106142,0.9679099292426213,0.975130597978607,0.01577429097494217,0.0005399612696682429,0.031008620680216092,1.863975774496191,1.8550698572544349,1.872881691737947,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006186850709411829,0.005728162132886664,0.0066455392859369935,0.160232856459435,0.15582080666888387,0.16464490624998612,0.006438994461904689,0.0055979398779592415,0.007280049045850136,0.0,0.0,0.0,0.0,0.0,0.0,0.19114743688818103,0.18368593069132536,0.1986089430850367,4.0,4.0,4.0,4.0,4.0,4.0,stop_early
oracle,8,3,-1.8887441789553447,-1.895434383859548,-1.8820539740511415,1.8887441789553447,1.8820539740511415,1.895434383859548,1.8887441789553447,1.8820539740511415,1.895434383859548,0.9991734147059835,0.9989673259808838,0.9993795034310833,0.008793379211468944,0.003009160814010233,0.014577597608927654,1.9632035233065654,1.9553494620455958,1.971057584567535,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.660321768854975e-05,7.76944424989969e-05,0.0001155119928781026,0.1263356024722931,0.12118133350419746,0.13148987144038876,0.0006456434146568999,0.0005232799282609497,0.00076800690105285,0.0,0.0,0.0,0.0,0.0,0.0,0.04162345960505367,0.039946217334799645,0.04330070187530769,8.0,8.0,8.0,8.0,8.0,8.0,stop_early
oracle,16,3,-1.9767049572286701,-1.9845023893758742,-1.968907525081466,1.9767049572286701,1.968907525081466,1.9845023893758742,1.9767049572286701,1.968907525081466,1.9845023893758742,0.9999992492958927,0.9999989174263519,0.9999995811654334,0.002866522274291109,3.555524086922869e-05,0.00569748930771299,2.024996714950574,2.0161743655512137,2.0338190643499345,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3076559028313618e-07,8.238982644953958e-08,1.7914135411673278e-07,0.10133691666158033,0.09278391502178157,0.10988991830137909,0.00018993236969292866,0.0001688188075158431,0.00021104593187001424,0.0,0.0,0.0,0.0,0.0,0.0,0.010995097284165672,0.010698468939656198,0.011291725628675147,16.0,16.0,16.0,16.0,16.0,16.0,stop_early
oracle,32,3,-2.03190178314228,-2.0397974707097783,-2.0240060955747814,2.03190178314228,2.0240060955747814,2.0397974707097783,2.03190178314228,2.0240060955747814,2.0397974707097783,0.9999999999989971,0.9999999999985747,0.9999999999994196,0.004078396435171753,0.003573742713127411,0.004583050157216096,2.0632759349682415,2.054904476949816,2.071647392986667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.23661413624226e-13,1.3258064718587996e-13,9.147421800625722e-13,0.0804956493963117,0.07014403710616333,0.09084726168646005,0.0001370726741629993,0.00013140554962467582,0.00014273979870132276,0.0,0.0,0.0,0.0,0.0,0.0,0.0034498016196006045,0.003334283101434805,0.003565320137766404,32.0,32.0,32.0,32.0,32.0,32.0,stop_early
oracle,64,3,-2.067574190118801,-2.0747779265146673,-2.060370453722935,2.067574190118801,2.060370453722935,2.0747779265146673,2.067574190118801,2.060370453722935,2.0747779265146673,1.0,1.0,1.0,0.001151330897922224,0.0003584592516162854,0.0019442025442281629,2.0632759349682415,2.054904476949816,2.071647392986667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3892294983137616e-23,-7.858821022180369e-24,3.5643410988455605e-23,0.06573877552122792,0.054785059981553995,0.07669249106090185,0.00012709309699363602,0.0001220680656362701,0.00013211812835100194,0.0,0.0,0.0,0.0,0.0,0.0,0.0011147627180162906,0.0010925475927491303,0.0011369778432834508,64.0,64.0,64.0,64.0,64.0,64.0,stop_early
oracle,128,3,-2.090865286086915,-2.09710901281528,-2.08462155935855,2.090865286086915,2.08462155935855,2.09710901281528,2.090865286086915,2.08462155935855,2.09710901281528,1.0,1.0,1.0,0.0007606646936795988,8.766380971439772e-05,0.0014336655776447998,2.0632759349682415,2.054904476949816,2.071647392986667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.260122135970163e-44,-1.1734534230355384e-44,3.6936976949758644e-44,0.05363861539094814,0.04185856964122824,0.06541866114066805,0.000120948759576396,0.000112978623934599,0.000128918895218193,0.0,0.0,0.0,0.0,0.0,0.0,0.00036392337450178125,0.0003244506057743867,0.0004033961432291758,128.0,128.0,128.0,128.0,128.0,128.0,stop_early
random,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.04586908838749711,0.023479069815573333,0.06825910695942089,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,-6.291263806209221e-16,-7.741955225052759e-16,-4.840572387365683e-16,-6.291263806209221e-16,-7.741955225052759e-16,-4.840572387365683e-16,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,collect_pilot_labels
random,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.04706818998037832,0.027431723798566798,0.06670465616218983,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,0.6789973211385053,0.6676373504991724,0.6903572917778382,0.6789973211385053,0.6676373504991724,0.6903572917778382,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,collect_pilot_labels
random,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.011082747630497733,0.007806915654300521,0.014358579606694944,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,1.0612921949148673,1.035596261331629,1.0869881284981056,1.0612921949148673,1.035596261331629,1.0869881284981056,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,collect_pilot_labels
random,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.020889272522314466,0.003946888726599259,0.03783165631802968,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,1.227786033335082,1.196425025495348,1.2591470411748162,1.227786033335082,1.196425025495348,1.2591470411748162,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,collect_pilot_labels
random,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.005826732775657188,0.002756770642410193,0.008896694908904183,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,1.3157468116084072,1.2849478860405112,1.3465457371763032,1.3157468116084072,1.2849478860405112,1.3465457371763032,0.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,collect_pilot_labels
random,32,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.00839893838799266,0.005870162112478133,0.010927714663507188,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,1.370943637522017,1.3415610916600653,1.4003261833839686,1.370943637522017,1.3415610916600653,1.4003261833839686,0.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,collect_pilot_labels
random,64,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.0014543649124580948,0.00010861137588263014,0.0028001184490335593,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,1.406616044498538,1.3774535399406287,1.4357785490564474,1.406616044498538,1.3774535399406287,1.4357785490564474,0.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,64.0,collect_pilot_labels
random,128,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.58984375,0.5768501929574688,0.6028373070425312,0.0018820653822096967,2.8410811890064273e-06,0.003761289683230387,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,0.0,0.0,0.0,0.0,0.0,0.0,0.26513671875,0.25309433960519967,0.27717909789480033,0.235308499256659,0.2166804442477147,0.2539365542656033,0.26472019522084017,0.2530601604973895,0.27638022994429085,1.4299071404666523,1.399524173429088,1.4602901075042167,1.4299071404666523,1.399524173429088,1.4602901075042167,0.0,0.0,0.0,128.0,128.0,128.0,128.0,128.0,128.0,collect_pilot_labels
raw_ebm,1,3,-1.7313490137786474,-1.75702630119539,-1.7056717263619048,1.7313490137786474,1.7056717263619048,1.75702630119539,0.6609581456202621,0.6347980499759264,0.6871182412645979,0.58984375,0.5768501929574688,0.6028373070425312,0.04586908838749656,0.02347906981557312,0.06825910695942,0.6609581456202628,0.6347980499759268,0.6871182412645988,0.26513671875,0.25309433960519967,0.27717909789480033,-0.3675581245635449,-0.4013417408325021,-0.3337745082945877,-0.3675581245635449,-0.4013417408325021,-0.3337745082945877,0.26513671875,0.25309433960519967,0.27717909789480033,0.23530849925665878,0.21668044424771438,0.2539365542656032,0.2647201952208403,0.25306016049738983,0.27638022994429073,7.401486830834377e-17,-3.6719570196998794e-16,5.152254385866754e-16,7.401486830834377e-17,-3.6719570196998794e-16,5.152254385866754e-16,-7.031412489292658e-16,-1.269654358122431e-15,-1.3662813973610044e-16,1.0,1.0,1.0,1.0,1.0,1.0,collect_pilot_labels
