seed,model,N,requested_N,gate_selected_N,conservative_high_N_gate,selected_energy,selected_score,selected_real_utility,success_rate,exact_expected_utility,mc_mean_utility,mc_ci_low,mc_ci_high,exact_law_abs_error,low_energy_tail_real_utility,low_energy_tail_invalid_rate,low_energy_tail_contact_failure_rate,low_energy_tail_support_distance,tail_rank_correlation,energy_utility_rank_correlation,invalid_action_rate,contact_failure_rate,support_distance,jerk_smoothness_penalty,contact_feasibility_penalty,oracle_minus_energy_gap,high_n_regret,marginal_utility_per_added_candidate,compute_latency_proxy,energy_evaluations,repair_recovery_ratio,repair_recovery_ratio_reported,recovery_ge_95,utility_not_degraded,tail_rank_improved,support_distance_reduced,deployment_gate,task,learned_model,is_repair_model,source_repair_model
1,oracle_value_shaped_upper,16,16,16,0,-1.480663188028275,1.480663188028275,1.5639934354999556,0.9983528655997207,1.5639934354999556,1.5634610762805705,1.550830013857229,1.576092138703912,0.0005323592193851034,1.6167204180756005,0.0,0.00031948146448059286,0.06419575078675706,0.9632392837764514,0.9965684399365065,0.0014847066590829437,0.0006957094552937583,0.08107443321417725,0.06104508680264175,0.0006957094552937583,0.0026287808799636547,0.0026287808799636547,0.012422652105448712,16.0,16,0.9989690041058736,0.9989690041058736,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle_value_shaped_upper,32,32,32,0,-1.5604975990921006,1.5604975990921006,1.620889746329885,0.9998724818556811,1.620889746329885,1.622264844400509,1.61479848003772,1.629731208763298,0.0013750980706239702,1.6404713919057883,0.0,0.00045785720569508693,0.053275282144308406,0.956456043956044,0.9965684399365065,0.00012748536366499354,0.0003684713138089479,0.06009001725310669,0.042456425921350814,0.0003684713138089479,0.0016208525316498967,0.0016208525316498967,0.003556019426870588,32.0,32,0.9994221777216178,0.9994221777216178,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle_value_shaped_upper,64,64,64,0,-1.6085092360479023,1.6085092360479023,1.6532155083336324,0.9999992372125757,1.6532155083336324,1.6527497818411283,1.6486664027237679,1.6568331609584888,0.0004657264925040927,1.6404713919057883,0.0,0.00045785720569508693,0.053275282144308406,0.956456043956044,0.9965684399365065,7.627874227062145e-07,0.00020813992772946056,0.04515461267806766,0.0305167964491619,0.00020813992772946056,0.0008643641651326917,0.0008643641651326917,0.0010101800626171054,64.0,64,0.9997050738778995,0.9997050738778995,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle_value_shaped_upper,128,128,128,0,-1.6373293146066934,1.6373293146066934,1.6715010371235686,0.9999999999810054,1.6715010371235686,1.6701338491278739,1.6677230970176302,1.6725446012381175,0.0013671879956946853,1.6404713919057883,0.0,0.00045785720569508693,0.053275282144308406,0.956456043956044,0.9965684399365065,1.899464389382606e-11,0.00011958160200115062,0.0345184868845729,0.02344606317850634,0.00011958160200115062,0.0004377303116427367,0.0004377303116427367,0.0002857113873427526,128.0,128,0.9998528755717375,0.9998528755717375,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle_value_shaped_upper,256,256,256,0,-1.6554222483411742,1.6554222483411742,1.681987050650307,1.0,1.681987050650307,1.6824201307323976,1.6811522578937583,1.6836880035710369,0.0004330800820906422,1.6404713919057883,0.0,0.00045785720569508693,0.053275282144308406,0.956456043956044,0.9965684399365065,7.084560510049596e-21,7.079815267529013e-05,0.02745532673180797,0.017263085930370573,7.079815267529013e-05,0.00022786029419341602,0.00022786029419341602,8.192198067764368e-05,256.0,256,0.9999238646615342,0.9999238646615342,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,oracle_value_shaped_upper,512,512,512,0,-1.6663459097820117,1.6663459097820117,1.6876686742499016,1.0,1.6876686742499016,1.687957668127133,1.6873030909761342,1.688612245278132,0.0002889938772314693,1.6404713919057883,0.0,0.00045785720569508693,0.053275282144308406,0.956456043956044,0.9965684399365065,5.071167403163106e-40,3.8312778133429106e-05,0.02336560390210552,0.01170266544270516,3.8312778133429106e-05,0.0001087578494669561,0.0001087578494669561,2.2193842185916704e-05,512.0,512,0.9999636526554301,0.9999636526554301,1,1,1,1,stop_early,multimodal,numpy_ibc_linear_feature_ebm,1,
1,random,1,1,1,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.412204131744467,0.3028936050224164,0.5215146584665177,0.020506071125015624,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,5.551115123125783e-17,5.551115123125783e-17,0.0,1.0,1,1.0,1.0,1,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,2,2,2,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.39907473020116674,0.3198744943863331,0.4782749660160004,0.007376669581715345,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,0.5581113264022359,0.5581113264022359,0.0,2.0,2,0.2584681837682125,0.2584681837682125,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,4,4,4,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.37124758969443616,0.3146198279248032,0.42787535146406913,0.02045047092501523,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,0.8968076083330694,0.8968076083330694,0.0,4.0,4,0.39495868071855067,0.39495868071855067,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,8,8,8,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.40038186173098345,0.36145208619250635,0.43931163726946054,0.008683801111532052,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.0761304569302925,1.0761304569302925,0.0,8.0,8,0.4898091493133708,0.4898091493133708,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,16,16,16,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.4076909871145497,0.38105102137651214,0.43433095285258727,0.015992926495098314,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.174924155760468,1.174924155760468,0.0,16.0,16,0.5392000947163181,0.5392000947163181,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
1,random,32,32,32,0,0.0,0.0,0.3916980606194514,0.421875,0.3916980606194514,0.40938102670799886,0.38851751631440445,0.43024453710159327,0.01768296608854747,0.3916980606194514,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.0,0.0,0.21940104166666666,0.18499771453743205,0.4413466964193555,0.17474587458051136,0.18499771453743205,1.2308125382420836,1.2308125382420836,0.0,32.0,32,0.561224176030049,0.561224176030049,0,1,0,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
